file_prefix,error
001_516_01,0
001_516_02,0
001_516_03,0
001_516_04,0
001_516_05,0
001_516_06,0
001_516_07,1
001_516_08,0
001_516_09,0
001_516_10,0
001_516_11,0
001_516_12,0
001_516_13,0
001_516_14,0
001_516_15,0
001_517_01,0
001_517_02,0
001_517_03,0
001_517_04,0
001_517_05,0
001_517_06,0
001_517_07,1
001_517_08,0
001_517_09,0
001_517_10,1
001_517_11,1
001_517_12,0
001_517_13,0
001_517_14,0
001_517_15,0
001_518_01,0
001_518_02,0
001_518_03,0
001_518_04,0
001_518_05,0
001_518_06,0
001_518_07,0
001_518_08,0
001_518_09,0
001_518_10,1
001_518_11,0
001_518_12,0
001_518_13,0
001_518_14,0
001_518_15,0
001_519_01,0
001_519_02,0
001_519_03,0
001_519_04,0
001_519_05,0
001_519_06,1
001_519_07,0
001_519_08,0
001_519_09,0
001_519_10,0
001_519_11,0
001_519_12,0
001_519_13,0
001_519_14,0
001_519_15,0
001_520_01,1
001_520_02,0
001_520_03,0
001_520_04,0
001_520_05,0
001_520_06,0
001_520_07,0
001_520_08,0
001_520_09,0
001_520_10,0
001_520_11,0
001_520_12,0
001_520_13,0
001_520_14,0
001_520_15,0
001_521_01,0
001_521_02,1
001_521_03,0
001_521_04,0
001_521_05,0
001_521_06,0
001_521_07,0
001_521_08,0
001_521_09,0
001_521_10,0
001_521_11,0
001_521_12,0
001_521_13,0
001_521_14,0
001_521_15,0
001_522_01,0
001_522_02,0
001_522_03,0
001_522_04,0
001_522_05,0
001_522_06,0
001_522_07,0
001_522_08,0
001_522_09,1
001_522_10,0
001_522_11,0
001_522_12,0
001_522_13,1
001_522_14,0
001_522_15,0
001_523_01,0
001_523_02,0
001_523_03,0
001_523_04,0
001_523_05,0
001_523_06,0
001_523_07,0
001_523_08,0
001_523_09,0
001_523_10,0
001_523_11,0
001_523_12,1
001_523_13,0
001_523_14,0
001_523_15,0
001_524_01,0
001_524_02,0
001_524_03,0
001_524_04,0
001_524_05,0
001_524_06,0
001_524_07,0
001_524_08,0
001_524_09,0
001_524_10,0
001_524_11,1
001_524_12,0
001_524_13,0
001_524_14,1
001_524_15,0
001_525_01,0
001_525_02,0
001_525_03,0
001_525_04,0
001_525_05,0
001_525_06,0
001_525_07,1
001_525_08,0
001_525_09,1
001_525_10,0
001_525_11,1
001_525_12,0
001_525_13,0
001_525_14,0
001_525_15,0
001_526_01,0
001_526_02,0
001_526_03,0
001_526_04,0
001_526_05,0
001_526_06,0
001_526_07,0
001_526_08,0
001_526_09,0
001_526_10,0
001_526_11,0
001_526_12,0
001_526_13,0
001_526_14,1
001_526_15,0
001_527_01,0
001_527_02,0
001_527_03,0
001_527_04,0
001_527_05,0
001_527_06,0
001_527_07,0
001_527_08,0
001_527_09,0
001_527_10,0
001_527_11,0
001_527_12,0
001_527_13,0
001_527_14,0
001_527_15,0
001_528_01,0
001_528_02,0
001_528_03,0
001_528_04,0
001_528_05,0
001_528_06,0
001_528_07,0
001_528_08,0
001_528_09,0
001_528_10,0
001_528_11,0
001_528_12,0
001_528_13,0
001_528_14,0
001_528_15,0
001_529_01,0
001_529_02,0
001_529_03,0
001_529_04,0
001_529_05,0
001_529_06,0
001_529_07,0
001_529_08,0
001_529_09,0
001_529_10,0
001_529_11,0
001_529_12,0
001_529_13,0
001_529_14,0
001_529_15,0
001_530_01,0
001_530_02,0
001_530_03,0
001_530_04,0
001_530_05,0
001_530_06,0
001_530_07,0
001_530_08,0
001_530_09,0
001_530_10,0
001_530_11,0
001_530_12,0
001_530_13,0
001_530_14,0
001_530_15,0
001_531_01,0
001_531_02,0
001_531_03,0
001_531_04,0
001_531_05,0
001_531_06,0
001_531_07,0
001_531_08,0
001_531_09,0
001_531_10,0
001_531_11,1
001_531_12,0
001_531_13,0
001_531_14,0
001_531_15,0
001_532_01,0
001_532_02,0
001_532_03,1
001_532_04,0
001_532_05,0
001_532_06,0
001_532_07,0
001_532_08,0
001_532_09,0
001_532_10,0
001_532_11,0
001_532_12,0
001_532_13,1
001_532_14,0
001_532_15,0
001_533_01,0
001_533_02,0
001_533_03,0
001_533_04,0
001_533_05,0
001_533_06,0
001_533_07,0
001_533_08,0
001_533_09,1
001_533_10,0
001_533_11,0
001_533_12,0
001_533_13,0
001_533_14,0
001_533_15,1
001_534_01,0
001_534_02,0
001_534_03,0
001_534_04,0
001_534_05,0
001_534_06,0
001_534_07,0
001_534_08,0
001_534_09,0
001_534_10,0
001_534_11,0
001_534_12,0
001_534_13,0
001_534_14,0
001_534_15,0
001_535_01,0
001_535_02,0
001_535_03,0
001_535_04,0
001_535_05,0
001_535_06,0
001_535_07,0
001_535_08,0
001_535_09,0
001_535_10,0
001_535_11,0
001_535_12,0
001_535_13,0
001_535_14,0
001_535_15,0
002_008_01,0
002_008_02,0
002_008_03,0
002_008_04,0
002_008_05,0
002_008_06,0
002_008_07,0
002_008_08,0
002_008_09,0
002_008_10,0
002_008_11,0
002_008_12,0
002_008_13,1
002_008_14,1
002_008_15,0
002_009_01,0
002_009_02,0
002_009_03,0
002_009_04,1
002_009_05,0
002_009_06,0
002_009_07,0
002_009_08,0
002_009_09,0
002_009_10,0
